n_segmentos,num_episodes,learning_rate,discount_rate,fail
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.1,True
5,100,0.1,0.1,False
5,100,0.1,0.1,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.2,True
5,100,0.1,0.2,False
5,100,0.1,0.2,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,True
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
5,100,0.1,0.3,False
